PR,URL,Title,Content type,Is rendered page,HTTP status code,SERP title,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
20,https://utahwatergardens.com/service-areas/murray,"Pond Services in Murray, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1591,<truncated>,11184,15305609523243503559,0,true
20,https://utahwatergardens.com/service-areas/ephraim,"Pond Services in Ephraim, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1609,<truncated>,11454,184574626391787214,0,true
20,https://utahwatergardens.com/service-areas/lindon,"Pond Services in Lindon, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1594,<truncated>,11229,16161206188043425717,0,true
20,https://utahwatergardens.com/blog/lake-dredging-large-water-bodies-guide,,text/html; charset=utf-8,true,200,,276,<truncated>,1843,4388521498173125409,0,true
20,https://utahwatergardens.com/service-areas/riverton,"Pond Services in Riverton, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1590,<truncated>,11343,2419195288201638607,0,true
20,https://utahwatergardens.com/pond-services/dredging,"Pond Services in Dredging, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1584,<truncated>,11326,2235068863588837218,0,true
20,https://utahwatergardens.com/service-areas/washington-terrace,"Pond Services in Washington Terrace, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1656,<truncated>,11901,4176536896354810854,0,true
20,https://utahwatergardens.com/service-areas/goshen,"Pond Services in Goshen, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1594,<truncated>,11229,17155151384396828099,0,true
20,https://utahwatergardens.com/service-areas/taylorsville,"Pond Services in Taylorsville, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1604,<truncated>,11661,14432519484564068638,0,true
20,https://utahwatergardens.com/service-areas/virgin,"Pond Services in Virgin, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1612,<truncated>,11298,4428979912758185673,0,true
20,https://utahwatergardens.com/service-areas/layton,"Pond Services in Layton, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1592,<truncated>,11216,4016889984237746672,0,true
20,https://utahwatergardens.com/service-areas/parowan,"Pond Services in Parowan, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1590,<truncated>,11285,1604727909523454665,0,true
20,https://utahwatergardens.com/service-areas/park-city,"Pond Services in Park City, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1656,<truncated>,11379,14490149214798091677,0,true
20,https://utahwatergardens.com/service-areas/spanish-fork,"Pond Services in Spanish Fork, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1650,<truncated>,11564,2182923128019470783,0,true
20,https://utahwatergardens.com/service-areas/sandy,"Pond Services in Sandy, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1592,<truncated>,11171,17562301628267422300,0,true
20,https://utahwatergardens.com/service-areas/payson,"Pond Services in Payson, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1612,<truncated>,11353,16863908057461446966,0,true
20,https://utahwatergardens.com/pond-services/water-testing,"Pond Services in Water Testing, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1653,<truncated>,11637,15435455280495404307,0,true
20,https://utahwatergardens.com/service-areas/leeds,"Pond Services in Leeds, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1609,<truncated>,11336,16365525864203242166,0,true
20,https://utahwatergardens.com/blog/pond-dredging-when-why-how-guide,,text/html; charset=utf-8,true,200,,276,<truncated>,1843,4388521498173125409,0,true
20,https://utahwatergardens.com/service-areas/kamas,"Pond Services in Kamas, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1609,<truncated>,11336,2083149014397366610,0,true
20,https://utahwatergardens.com/service-areas/red-ledges,"Pond Services in Red Ledges, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1650,<truncated>,11448,525925402070151786,0,true
20,https://utahwatergardens.com/service-areas/south-ogden,"Pond Services in South Ogden, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1653,<truncated>,11521,17837358522617040497,0,true
20,https://utahwatergardens.com/service-areas/samak,"Pond Services in Samak, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1609,<truncated>,11336,2436555747380110686,0,true
20,https://utahwatergardens.com/service-areas/centerville,"Pond Services in Centerville, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1592,<truncated>,11519,1993728867717599899,0,true
20,https://utahwatergardens.com/service-areas/milford,"Pond Services in Milford, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1612,<truncated>,11358,1050475456852187493,0,true
20,https://utahwatergardens.com/service-areas/mona,"Pond Services in Mona, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1595,<truncated>,11115,1745960589159254044,0,true
20,https://utahwatergardens.com/service-areas/west-valley-city,"Pond Services in West Valley City, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1700,<truncated>,11790,15057038189093086331,0,true
20,https://utahwatergardens.com/service-areas/salem,"Pond Services in Salem, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1604,<truncated>,11255,43758744785734671,0,true
20,https://utahwatergardens.com/service-areas/woodland-hills,"Pond Services in Woodland Hills, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1649,<truncated>,11648,1753533462469547347,0,true
20,https://utahwatergardens.com/service-areas/enoch,"Pond Services in Enoch, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1609,<truncated>,11336,15705808250578240482,0,true
20,https://utahwatergardens.com/service-areas/magna,"Pond Services in Magna, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1612,<truncated>,11238,3336102842824200166,0,true
20,https://utahwatergardens.com/service-areas/syracuse,"Pond Services in Syracuse, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1588,<truncated>,11360,3273304870576737123,0,true
20,https://utahwatergardens.com/service-areas/hoytsville,"Pond Services in Hoytsville, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1598,<truncated>,11437,4462381578032604072,0,true
